,td_player_name,passer_player_name,receiver_player_name,rusher_player_name,lateral_receiver_player_name,lateral_rusher_player_name,lateral_sack_player_name,interception_player_name,lateral_interception_player_name,punt_returner_player_name,lateral_punt_returner_player_name,kickoff_returner_player_name,lateral_kickoff_returner_player_name,punter_player_name,kicker_player_name,own_kickoff_recovery_player_name,blocked_player_name,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,qb_hit_2_player_name,forced_fumble_player_1_player_name,forced_fumble_player_2_player_name,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_name,assist_tackle_2_player_name,assist_tackle_3_player_name,assist_tackle_4_player_name,tackle_with_assist_1_player_name,tackle_with_assist_2_player_name,pass_defense_1_player_name,pass_defense_2_player_name,fumbled_1_player_name,fumbled_2_player_name,fumble_recovery_1_player_name,fumble_recovery_2_player_name,sack_player_name,half_sack_1_player_name,half_sack_2_player_name,penalty_player_name,safety_player_name,name,fantasy_player_name
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,J.Ledbetter,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
3,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,,,J.Woods,,,,K.Clark,,,,,,,,,,,,,S.Howell,J.Dotson
4,,,,C.Rodriguez,,,,,,,,,,,,,,,,,,,,,,C.Thomas,Z.Collins,,,,,,,,,,,,,,,,C.Rodriguez,C.Rodriguez
5,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,L.Thomas
6,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,K.Clark,,,,,,,,,,,,,,,,,,,S.Howell,J.Dotson
7,,S.Howell,C.Samuel,,,,,,,,,,,,,,,,,,,,,J.Thompson,,,,,,,,,,,,,,,,,,,S.Howell,C.Samuel
8,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,,,,,,,,S.Howell,L.Thomas
9,,S.Howell,C.Samuel,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,,,,,,,,,,,,,,,,S.Howell,C.Samuel
10,,,,,,,,,,,,,,T.Way,,,,,,,,,,,,,,,,,,,,,,,,,,,C.Holmes,,,
11,,,,J.Conner,,,,,,,,,,,,,,J.Davis,,,,,,,,K.Curl,,,,J.Davis,,,,,,,,,,,,,J.Conner,J.Conner
12,,,,J.Conner,,,,,,,,,,,,,,,,,,,,B.St-Juste,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
13,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,K.Curl,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
14,,J.Dobbs,Z.Pascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Pascal
15,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,,,D.Forrest,J.Smith-Williams,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
16,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,K.Curl,C.Barton,,,,,,,,,,,,,,,,J.Conner,J.Conner
17,,,,,,,,,,J.Crowder,,,,N.Cooney,,,,,,,,,,V.Dimukeje,,,,,,,,,,,,,,,,,J.Martin,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.White,,S.Howell,
19,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,,,,,,,,,S.Howell,L.Thomas
20,,,,A.Gibson,,,,,,,,,,,,,,,,,,,,K.White,,,,,,,,,,,,,,,,,,,A.Gibson,A.Gibson
21,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,J.Thompson,,,,,,,,,,,,,,,,,J.Thompson,,S.Howell,J.Dotson
22,,,,B.Robinson,,,,,,,,,,,,,,K.Strong,,,,,,K.Strong,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,S.Howell,
24,,,,C.Samuel,,,,,,,,,,,,,,,,,,,,,,K.White,K.Wallace,,,,,,,,,,,,,,,,C.Samuel,C.Samuel
25,B.Robinson,S.Howell,B.Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,B.Robinson
26,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,R.Moore,,,,,,,,,,,,,,,,,,,,E.Forbes,,,,,,,,,,,,,,,,,,,R.Moore,R.Moore
29,,,,M.Brown,,,,,,,,,,,,,,,,,,,,D.Forrest,,,,,,,,,,,,,,,,,,,M.Brown,M.Brown
30,,J.Dobbs,J.Conner,,,,,,,,,,,,,,,M.Sweat,,,,,,,,J.Smith-Williams,,,,M.Sweat,,,,,,,,,,,,,J.Dobbs,J.Conner
31,,J.Dobbs,R.Moore,,,,,,,,,,,,,,,,,,,,,E.Forbes,,,,,,,,,,,,,,,,,,,J.Dobbs,R.Moore
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
34,,,,J.Dobbs,,,,,,,,,,,,,,,,,,,,J.Davis,,,,,,,,,,,,,,,,,,,J.Dobbs,J.Dobbs
35,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.Curl,,,,,,,,,,,J.Dobbs,Z.Ertz
36,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,S.Howell,,,,,,,,,,,,,,,,L.Fotu,,,,,,L.Fotu,,,,,,,,,,,,,,L.Fotu,,,,,S.Howell,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Bates,,S.Howell,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Ledbetter,,S.Howell,
42,,S.Howell,J.Dotson,,,,,Z.Collins,,,,,,,,,,,,,,,,T.McLaurin,,,,,,,,K.Strong,Z.Collins,,,,,,,,,,S.Howell,J.Dotson
43,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,C.Barton,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
44,,,,K.Ingram,,,,,,,,,,,,,,D.Payne,,,,,,,,C.Toohill,,,,D.Payne,,,,,,,,,,,,,K.Ingram,K.Ingram
45,,J.Dobbs,M.Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,M.Brown
46,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,,,Z.Collins,K.Wallace,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
49,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,,,C.Watkins,J.Thompson,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
50,,,,S.Howell,,,,,,,,,,,,,,,,,,,,K.White,,,,,,,,,,,,,,,,,,,S.Howell,S.Howell
51,,,,A.Gibson,,,,,,,,,,,,,,,,,,,,,,K.Barnes,J.Ledbetter,,,,,,,,,,,,,,,,A.Gibson,A.Gibson
52,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,B.Baker,,,,,,,,,,,,,,,,,,,S.Howell,T.McLaurin
53,,S.Howell,C.Samuel,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,,,,,,,,,S.Howell,C.Samuel
54,,S.Howell,C.Turner,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,,,,,,,,,S.Howell,C.Turner
55,,,,A.Gibson,,,,,,,,,,,,,,,,,,V.Dimukeje,,,,V.Dimukeje,K.White,,,,,,,A.Gibson,,Z.Collins,,,,,,,A.Gibson,A.Gibson
56,,,,J.Conner,,,,,,,,,,,,,,,,,,,,J.Davis,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H.Froholdt,,J.Dobbs,
58,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,J.Davis,C.Barton,,,,,,,,,,,,,,,,J.Conner,J.Conner
59,,J.Dobbs,,,,,,,,,,,,,,,,,,M.Sweat,A.Anderson,,,,,M.Sweat,A.Anderson,,,,,,,,,,,,M.Sweat,A.Anderson,,,J.Dobbs,
60,,,,,,,,,,,,,,N.Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,D.Gardeck,,,,,,,,,,,,,S.Howell,T.McLaurin
62,,S.Howell,,,,,,,,,,,,,,,,,,J.Ledbetter,,,,J.Ledbetter,,,,,,,,,,,,,,J.Ledbetter,,,,,S.Howell,
63,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,T.McLaurin
64,,S.Howell,,,,,,,,,,,,,,,,D.Gardeck,,D.Gardeck,,,,D.Gardeck,,,,,,,,,,,,,,D.Gardeck,,,,,S.Howell,
65,,,,,,,,,,G.Dortch,,,,T.Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,P.Butler,K.Fuller,,,,,,,,,,,,,,,,J.Conner,J.Conner
67,,J.Dobbs,T.McBride,,,,,,,,,,,,,,,,,,,,,P.Butler,,,,,,,,,,,,,,,,,,,J.Dobbs,T.McBride
